# PerfMonitor started 2026-05-16T18:44:43
# threshold=18ms history=600f context=30f post=10f
# .NET GC server=False latencyMode=Interactive
frame,frame_ms,proc_ms,phys_ms,gc0,gc1,gc2,note
# SPIKE #1 t=465ms 142.69ms
# RECENT MARKS (last 2):
#   t=433ms [music_load] title_screens (BEGIN)
#   t=434ms [music_load] title_screens (END +2ms)
26311,8.33,9.39,3.24,0,0,0,POST
26312,8.33,9.39,3.24,0,0,0,POST
26313,8.33,9.39,3.24,0,0,0,POST
26314,8.33,9.39,3.24,0,0,0,POST
26315,8.33,9.39,3.24,0,0,0,POST
26316,8.33,9.39,3.24,0,0,0,POST
26317,8.33,9.39,3.24,0,0,0,POST
26318,8.33,9.39,3.24,0,0,0,POST

# SPIKE #12 t=265231ms 28.67ms
# RECENT MARKS (last 12):
#   t=211989ms [sfx_play] player_pike (BEGIN)
#   t=211990ms [sfx_play] player_pike (END +1ms)
#   t=213647ms [sfx_play] heart (BEGIN)
#   t=213648ms [sfx_play] heart (END +1ms)
#   t=217414ms [sfx_play] slime_jump (BEGIN)
#   t=217414ms [sfx_play] slime_jump (END +0ms)
#   t=219247ms [sfx_play] slime_jump (BEGIN)
#   t=219248ms [sfx_play] slime_jump (END +1ms)
#   t=220898ms [sfx_play] slime_jump (BEGIN)
#   t=220899ms [sfx_play] slime_jump (END +1ms)
#   t=222531ms [sfx_play] slime_jump (BEGIN)
#   t=222531ms [sfx_play] slime_jump (END +0ms)
31656,8.33,9.30,0.27,0,0,0,
31657,8.33,9.30,0.27,0,0,0,
31658,8.33,9.30,0.27,0,0,0,
31659,8.33,9.30,0.27,0,0,0,
31660,8.33,9.30,0.27,0,0,0,
31661,8.33,9.30,0.27,0,0,0,
31662,8.33,9.30,0.27,0,0,0,
31663,8.33,9.30,0.27,0,0,0,
31664,8.33,9.30,0.27,0,0,0,
31665,8.33,9.57,0.15,0,0,0,
31666,8.33,9.57,0.15,0,0,0,
31667,8.33,9.57,0.15,0,0,0,
31668,8.33,9.57,0.15,0,0,0,
31669,8.33,9.57,0.15,0,0,0,
31670,8.33,9.57,0.15,0,0,0,
31671,8.33,9.57,0.15,0,0,0,
31672,8.33,9.57,0.15,0,0,0,
31673,8.33,9.57,0.15,0,0,0,
31674,8.33,9.57,0.15,0,0,0,
31675,8.33,9.57,0.15,0,0,0,
